CustomerID,Count,AppID,FundedAppCount,TierName,Stage,StageDate,PaymentStatus,FundedDate,LastPaymentDate,IssuedAmount,TotalDue,Payment
25762565,1,700602,1,TDOTUK 10,Payment Plan,01/04/2025,Payment Plan,05/12/2024,09/05/2025,£500,£161,£839
25844560,1,720333,1,TDOTUK 3-50,Funds Sent,30/12/2024,Paying,30/12/2024,30/05/2025,£500,£131,£839
21210831,1,331277,2,Repeat,External Collections – Expired,11/11/2024,Partially Paid,01/08/2023,06/10/2023,"£1,000","£1,161",£839
23556571,1,459966,1,TDOTUK 9,External Collections,10/04/2025,Partially Paid,03/02/2024,02/12/2024,£500,£162,£838
20763576,1,147375,1,TDOTUK 3-50,External Collections – Expired,02/08/2024,Partially Paid,19/07/2022,30/06/2023,£500,£162,£838
22572714,1,717672,1,DLT 5,Funds Sent,27/12/2024,Paying,27/12/2024,27/05/2025,£500,£134,£837
22016963,1,629248,2,TDOTUK 3-50,Funds Sent,08/09/2024,Paying,08/09/2024,29/05/2025,£500,£163,£837
20554361,1,265315,1,LeadAffinity 3-10,External Collections – Payment Plan,28/02/2025,Payment Plan,16/04/2023,29/05/2025,£500,£164,£836
20601527,1,225165,1,SmartPing 5-75,Debt Management Plan,31/07/2023,Payment Plan DMP/IVA,01/02/2023,04/06/2025,£500,£92,£835
25056029,1,745276,2,TDOTUK 5-85,Funds Sent,29/01/2025,Paying,29/01/2025,30/05/2025,£600,£151,£833
20002700,1,101219,1,Nouveau 7-30,External Collections,11/01/2024,Partially Paid,01/12/2021,29/04/2022,£500,£168,£832
20151134,1,123424,1,Nouveau 7-30,Debt Management Plan,23/08/2022,Payment Plan DMP/IVA,25/04/2022,29/05/2025,£500,£168,£832
21793578,1,288331,1,StopGo CPF,External Collections – Payment Plan,25/03/2025,Payment Plan,27/05/2023,15/04/2025,£500,£240,£832
25384891,1,622675,1,Flux 1-50,Collections M1,28/05/2025,Partially Paid,01/09/2024,31/01/2025,£500,£168,£832
22959026,1,725793,2,Repeat,Funds Sent,04/01/2025,Paying,04/01/2025,30/04/2025,£600,£282,£831
23958775,1,739613,3,StopGo 1-05,Payment Plan,24/03/2025,Payment Plan,22/01/2025,23/05/2025,£600,£334,£831
20185309,1,207110,1,Nouveau 3-15,External Collections – Payment Plan,27/05/2025,Payment Plan,17/12/2022,27/05/2025,£500,£170,£830
23822625,1,467135,1,TDOTUK 5-85,Payment Plan,29/05/2025,Payment Plan,14/02/2024,29/05/2025,£500,£170,£830
25833259,1,717065,1,TDOTUK 3-50,Funds Sent,26/12/2024,Paying,26/12/2024,23/05/2025,£500,£136,£830
21138052,1,189867,1,Flux CPF,Debt Management Plan,24/01/2023,Payment Plan DMP/IVA,12/11/2022,07/05/2025,£500,£89,£830
25305696,1,709400,1,LeadBrain 3-65,Funds Sent,16/12/2024,Paying,16/12/2024,15/05/2025,£500,£149,£829
20285278,1,504598,1,TDOTUK 5-85,External Collections – Payment Plan,18/11/2024,Payment Plan,09/04/2024,27/05/2025,£450,£71,£829
20988298,1,223002,1,Flux 3-60,External Collections – Payment Plan,03/06/2025,Payment Plan,26/01/2023,03/06/2025,£550,£273,£827
25350883,1,722022,1,Cozi 1-80,Funds Sent,01/01/2025,Paying,01/01/2025,30/05/2025,£500,£132,£827
24868084,1,722805,1,TDOTUK 5-85,Funds Sent,01/01/2025,Paying,01/01/2025,30/05/2025,£500,£132,£827
25185177,1,720167,1,StopGo 1-05,Funds Sent,30/12/2024,Paying,30/12/2024,28/05/2025,£500,£135,£826
24567439,1,720779,2,Repeat,Funds Sent,30/12/2024,Paying,30/12/2024,28/05/2025,£500,£135,£826
24931341,1,692813,1,Flux 1-50,Funds Sent,26/11/2024,Paying,26/11/2024,30/05/2025,£500,£175,£825
20378888,1,140967,1,TDOTUK 3-50,Debt Management Plan,17/11/2022,Payment Plan DMP/IVA,30/06/2022,30/05/2025,£500,£364,£824
24845099,1,699395,1,TDOTUK 3-50,Funds Sent,04/12/2024,Paying,04/12/2024,29/05/2025,£500,£153,£824
24613525,1,721110,2,Cozi 1-80,Funds Sent,31/12/2024,Paying,31/12/2024,30/05/2025,£500,£134,£824
20918725,1,204747,1,Nouveau 3-15,Debt Management Plan,24/01/2023,Payment Plan DMP/IVA,15/12/2022,04/06/2025,£350,£237,£822
22707359,1,715368,2,TDOTUK 10,Funds Sent,23/12/2024,Paying,23/12/2024,16/05/2025,£500,£149,£821
25832975,1,716966,1,TDOTUK 10,Funds Sent,26/12/2024,Paying,26/12/2024,19/05/2025,£500,£146,£821
25514879,1,722765,1,Flux CPF7,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£500,£132,£821
25527579,1,723829,1,TDOTUK 10,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£500,£132,£821
10141464,1,148905,1,LeadBrain 7,External Collections – Payment Plan,18/07/2024,Payment Plan,21/07/2022,29/04/2025,£450,£80,£820
24127112,1,486679,1,TDOTUK 9,External Collections,10/04/2025,Partially Paid,13/03/2024,25/11/2024,£500,£180,£820
22446572,1,723284,1,TDOTUK 10,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£500,£135,£818
23250355,1,410165,1,Cozi 8-25,External Collections,10/10/2024,Partially Paid,24/11/2023,30/04/2024,£500,£182,£818
25150161,1,597112,1,Nouveau 2-75,External Collections,10/04/2025,Partially Paid,03/08/2024,13/12/2024,£550,£283,£817
23801152,1,699496,2,TDOTUK 10,Funds Sent,04/12/2024,Paying,04/12/2024,30/04/2025,£500,£166,£816
21741843,1,524003,2,TDOTUK 9,External Collections,10/04/2025,Partially Paid,04/05/2024,30/09/2024,£500,£184,£816
10158960,1,724865,1,Organic,Funds Sent,03/01/2025,Paying,03/01/2025,30/05/2025,£500,£132,£815
25868277,1,727141,1,TDOTUK 3-50,Funds Sent,06/01/2025,Paying,06/01/2025,30/05/2025,£500,£136,£814
25575576,1,722065,1,Flux 1-50,Funds Sent,01/01/2025,Paying,01/01/2025,28/05/2025,£500,£135,£814
23253394,1,410410,1,TDOTUK 5-85,Payment Plan,13/03/2024,Payment Plan,25/11/2023,29/05/2025,£500,£187,£813
20392026,1,213270,1,Flux CPF,Collections,02/06/2025,Partially Paid,04/01/2023,16/05/2025,£500,£187,£813
25769967,1,748123,1,Cozi 1-80,Funds Sent,02/02/2025,Paying,02/02/2025,28/05/2025,£400,£190,£813
22799367,1,433242,1,TDOTUK 9,Debt Management Plan,05/05/2024,Payment Plan DMP/IVA,28/12/2023,29/05/2025,£500,£176,£812
25397144,1,724144,1,StopGo 1-05,Funds Sent,02/01/2025,Paying,02/01/2025,30/05/2025,£500,£135,£812
21015938,1,274348,1,Nouveau 3-15,Payment Plan,24/01/2025,Payment Plan,05/05/2023,21/05/2025,£450,£89,£811
